SYMBOL,NAME,CLOSE,CHANGE%,VOLUME,FETCH_DATE
INOXGREEN,INOXGREEN,158.65,-8.585422068568139,1774969,2026-01-25 09:59
LLOYDSENPP.E1,LLOYDSENPP.E1,24.55,-8.1556303778526,1767704,2026-01-25 09:59
JSWENERGY,JSWENERGY,477.65,-2.9856809180461146,1759170,2026-01-25 09:59
MARICO,MARICO,740.95,-1.4366478217492458,1755248,2026-01-25 09:59
MUKKA,MUKKA,22.29,6.650717703349285,1754281,2026-01-25 09:59
AFIL,AFIL,4.96,-2.9354207436399284,1745041,2026-01-25 09:59
CANHLIFE,CANHLIFE,146.52,-2.117709933863309,1711794,2026-01-25 09:59
SUNPHARMA,SUNPHARMA,1631.9,-0.1407416472891907,1678658,2026-01-25 09:59
NCC,NCC,141.82,-3.0423189991112443,1674636,2026-01-25 09:59
SHREEJISPG,SHREEJISPG,320.95,-6.113792599093179,1673596,2026-01-25 09:59
SPCENET,SPCENET,5.11,-4.841713221601486,1666162,2026-01-25 09:59
JSWCEMENT,JSWCEMENT,116.5,-1.72093807997301,1662237,2026-01-25 09:59
JMFINANCIL,JMFINANCIL,128.26,-2.300426569165151,1657510,2026-01-25 09:59
JISLJALEQS,JISLJALEQS,34.35,-5.7613168724279875,1653998,2026-01-25 09:59
BAIDFIN,BAIDFIN,11.35,12.935323383084565,1649199,2026-01-25 09:59
IRCTC,IRCTC,617.8,-1.7571757970899369,1647574,2026-01-25 09:59
VOLTAS,VOLTAS,1315.4,1.6930807885581827,1639531,2026-01-25 09:59
CESC,CESC,140.43,-2.1052631578947243,1619223,2026-01-25 09:59
KTKBANK,KTKBANK,179.06,-1.8849315068493138,1616531,2026-01-25 09:59
ASHOKA,ASHOKA,146.0,1.0101010101010157,1600922,2026-01-25 09:59
MPHASIS,MPHASIS,2752.8,-2.0390733425856635,1589967,2026-01-25 09:59
NAZARA,NAZARA,277.9,-2.83216783216784,1565813,2026-01-25 09:59
TIMETECHNO,TIMETECHNO,173.46,-1.5159257366717696,1550844,2026-01-25 09:59
RCOM,RCOM,1.03,4.040404040404044,1515855,2026-01-25 09:59
MTNL,MTNL,28.85,-4.84828496042216,1514985,2026-01-25 09:59
VIKRAN,VIKRAN,87.94,-2.678176184152282,1489264,2026-01-25 09:59
360ONE,360ONE,1112.3,0.542348368435325,1476232,2026-01-25 09:59
DBOL,DBOL,95.76,20.00000000000001,1473992,2026-01-25 09:59
OMAXE,OMAXE,75.02,1.7910447761193937,1460186,2026-01-25 09:59
TATACONSUM,TATACONSUM,1153.5,-1.8464942137508549,1456971,2026-01-25 09:59
PRESTIGE,PRESTIGE,1388.8,-2.375931393223672,1453722,2026-01-25 09:59
POLICYBZR,POLICYBZR,1673.9,-2.37373148256152,1452236,2026-01-25 09:59
WELSPUNLIV,WELSPUNLIV,120.78,-3.806944886906659,1417728,2026-01-25 09:59
GRMOVER,GRMOVER,162.16,-2.495340027659194,1416139,2026-01-25 09:59
BRIGADE,BRIGADE,760.15,-2.519876891510641,1405372,2026-01-25 09:59
UNITDSPR,UNITDSPR,1333.0,-0.40346682606097506,1398884,2026-01-25 09:59
SAMHI,SAMHI,175.82,1.7359101955792156,1391235,2026-01-25 09:59
QPOWER,QPOWER,598.05,-10.263335584064833,1390581,2026-01-25 09:59
HINDUNILVR,HINDUNILVR,2409.5,0.7905965029699695,1378097,2026-01-25 09:59
AKSHAR,AKSHAR,0.49,2.0833333333333353,1340154,2026-01-25 09:59
RAILTEL,RAILTEL,328.2,-2.350490925319855,1338647,2026-01-25 09:59
URJA,URJA,9.94,-2.644466209598446,1337036,2026-01-25 09:59
STLNETWORK,STLNETWORK,18.47,-4.151530877010901,1327913,2026-01-25 09:59
SHRENIK,SHRENIK,0.39,0.0,1325629,2026-01-25 09:59
SYNCOMF,SYNCOMF,11.94,-2.4509803921568687,1324380,2026-01-25 09:59
BHANDARI,BHANDARI,4.02,2.2900763358778478,1321708,2026-01-25 09:59
